timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682276499909,59,getBooks request,200,,External app 1-8,text,true,,174,124,9,9,http://localhost:8080/books/,51,0,27
1682276499960,8,getBooks request,200,,External app 1-9,text,true,,174,124,9,9,http://localhost:8080/books/,5,0,2
1682276499890,78,getBooks request,200,,External app 1-4,text,true,,174,124,9,9,http://localhost:8080/books/,70,0,48
1682276499892,77,getBooks request,200,,External app 1-7,text,true,,174,124,9,9,http://localhost:8080/books/,68,0,45
1682276499890,79,getBooks request,200,,External app 1-6,text,true,,174,124,9,9,http://localhost:8080/books/,70,0,49
1682276499890,79,getBooks request,200,,External app 1-5,text,true,,174,124,9,9,http://localhost:8080/books/,70,0,50
1682276499890,79,getBooks request,200,,External app 1-2,text,true,,174,124,9,9,http://localhost:8080/books/,70,0,45
1682276499890,78,getBooks request,200,,External app 1-1,text,true,,174,124,9,9,http://localhost:8080/books/,70,0,45
1682276499892,77,getBooks request,200,,External app 1-3,text,true,,174,124,9,9,http://localhost:8080/books/,68,0,49
1682276499975,3,getBooks request,200,,External app 1-1,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276499974,4,getBooks request,200,,External app 1-8,text,true,,174,124,9,9,http://localhost:8080/books/,4,0,0
1682276499973,8,getBooks request,200,,External app 1-6,text,true,,174,124,9,9,http://localhost:8080/books/,8,0,0
1682276499975,6,getBooks request,200,,External app 1-3,text,true,,174,124,9,9,http://localhost:8080/books/,6,0,0
1682276499973,11,getBooks request,200,,External app 1-9,text,true,,174,124,9,9,http://localhost:8080/books/,11,0,0
1682276499973,12,getBooks request,200,,External app 1-4,text,true,,174,124,9,9,http://localhost:8080/books/,11,0,0
1682276499972,15,getBooks request,200,,External app 1-2,text,true,,174,124,9,9,http://localhost:8080/books/,15,0,0
1682276499982,5,getBooks request,200,,External app 1-3,text,true,,174,124,9,9,http://localhost:8080/books/,5,0,0
1682276499985,3,getBooks request,200,,External app 1-4,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276499979,9,getBooks request,200,,External app 1-1,text,true,,174,124,9,9,http://localhost:8080/books/,8,0,0
1682276499985,5,getBooks request,200,,External app 1-9,text,true,,174,124,9,9,http://localhost:8080/books/,5,0,0
1682276499987,4,getBooks request,200,,External app 1-3,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276499991,2,getBooks request,200,,External app 1-3,text,true,,174,124,9,9,http://localhost:8080/books/,2,0,0
1682276499991,4,getBooks request,200,,External app 1-9,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276499989,7,getBooks request,200,,External app 1-1,text,true,,174,124,9,9,http://localhost:8080/books/,5,0,0
1682276499989,7,getBooks request,200,,External app 1-4,text,true,,174,124,9,9,http://localhost:8080/books/,4,0,0
1682276499996,2,getBooks request,200,,External app 1-9,text,true,,174,124,9,9,http://localhost:8080/books/,2,0,0
1682276499979,21,getBooks request,200,,External app 1-8,text,true,,174,124,9,9,http://localhost:8080/books/,21,0,0
1682276499997,3,getBooks request,200,,External app 1-4,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276499987,13,getBooks request,200,,External app 1-2,text,true,,174,124,9,9,http://localhost:8080/books/,13,0,0
1682276499999,3,getBooks request,200,,External app 1-9,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276499994,10,getBooks request,200,,External app 1-3,text,true,,174,124,9,9,http://localhost:8080/books/,10,0,0
1682276500002,3,getBooks request,200,,External app 1-2,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276500002,3,getBooks request,200,,External app 1-9,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276500000,7,getBooks request,200,,External app 1-8,text,true,,174,124,9,9,http://localhost:8080/books/,7,0,0
1682276500004,3,getBooks request,200,,External app 1-3,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276500006,3,getBooks request,200,,External app 1-2,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276500006,4,getBooks request,200,,External app 1-9,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276500000,11,getBooks request,200,,External app 1-4,text,true,,174,124,9,9,http://localhost:8080/books/,9,0,0
1682276500010,3,getBooks request,200,,External app 1-2,text,true,,174,124,9,9,http://localhost:8080/books/,3,0,0
1682276500008,7,getBooks request,200,,External app 1-8,text,true,,174,124,9,9,http://localhost:8080/books/,7,0,0
1682276500010,7,getBooks request,200,,External app 1-9,text,true,,174,124,9,9,http://localhost:8080/books/,5,0,0
1682276500018,5,getBooks request,200,,External app 1-9,text,true,,174,124,9,9,http://localhost:8080/books/,4,0,0
1682276500014,14,getBooks request,200,,External app 1-2,text,true,,174,124,8,8,http://localhost:8080/books/,13,0,0
1682276500008,20,getBooks request,200,,External app 1-3,text,true,,174,124,8,8,http://localhost:8080/books/,19,0,0
1682276500016,17,getBooks request,200,,External app 1-8,text,true,,174,124,8,8,http://localhost:8080/books/,16,0,0
1682276500028,6,getBooks request,200,,External app 1-3,text,true,,174,124,8,8,http://localhost:8080/books/,4,0,0
1682276500033,4,getBooks request,200,,External app 1-8,text,true,,174,124,8,8,http://localhost:8080/books/,4,0,0
1682276500035,5,getBooks request,200,,External app 1-3,text,true,,174,124,8,8,http://localhost:8080/books/,5,0,0
1682276500029,11,getBooks request,200,,External app 1-2,text,true,,174,124,8,8,http://localhost:8080/books/,11,0,0
1682276500038,7,getBooks request,200,,External app 1-8,text,true,,174,124,7,7,http://localhost:8080/books/,6,0,0
1682276500042,7,getBooks request,200,,External app 1-2,text,true,,174,124,7,7,http://localhost:8080/books/,6,0,0
1682276500050,3,getBooks request,200,,External app 1-2,text,true,,174,124,7,7,http://localhost:8080/books/,2,0,0
1682276499972,89,getBooks request,200,,External app 1-7,text,true,,174,124,6,6,http://localhost:8080/books/,88,0,0
1682276500063,16,getBooks request,200,,External app 1-7,text,true,,174,124,7,7,http://localhost:8080/books/,5,0,0
1682276500074,5,getBooks request,200,,External app 1-10,text,true,,174,124,7,7,http://localhost:8080/books/,5,0,3
1682276500081,2,getBooks request,200,,External app 1-10,text,true,,174,124,7,7,http://localhost:8080/books/,2,0,0
1682276500084,2,getBooks request,200,,External app 1-10,text,true,,174,124,7,7,http://localhost:8080/books/,2,0,0
1682276500080,9,getBooks request,200,,External app 1-7,text,true,,174,124,7,7,http://localhost:8080/books/,8,0,0
1682276500087,3,getBooks request,200,,External app 1-10,text,true,,174,124,7,7,http://localhost:8080/books/,2,0,0
1682276500090,4,getBooks request,200,,External app 1-7,text,true,,174,124,7,7,http://localhost:8080/books/,3,0,0
1682276500091,3,getBooks request,200,,External app 1-10,text,true,,174,124,7,7,http://localhost:8080/books/,2,0,0
1682276500094,4,getBooks request,200,,External app 1-10,text,true,,174,124,7,7,http://localhost:8080/books/,4,0,0
1682276500099,3,getBooks request,200,,External app 1-10,text,true,,174,124,7,7,http://localhost:8080/books/,3,0,0
1682276500103,2,getBooks request,200,,External app 1-10,text,true,,174,124,7,7,http://localhost:8080/books/,2,0,0
1682276500094,13,getBooks request,200,,External app 1-7,text,true,,174,124,7,7,http://localhost:8080/books/,7,0,0
1682276500106,5,getBooks request,200,,External app 1-10,text,true,,174,124,7,7,http://localhost:8080/books/,4,0,0
1682276500112,4,getBooks request,200,,External app 1-10,text,true,,174,124,7,7,http://localhost:8080/books/,3,0,0
1682276499997,125,getBooks request,200,,External app 1-1,text,true,,174,124,6,6,http://localhost:8080/books/,125,0,0
1682276500012,111,getBooks request,200,,External app 1-4,text,true,,174,124,6,6,http://localhost:8080/books/,111,0,0
1682276500122,3,getBooks request,200,,External app 1-1,text,true,,174,124,6,6,http://localhost:8080/books/,3,0,0
1682276500108,17,getBooks request,200,,External app 1-7,text,true,,174,124,6,6,http://localhost:8080/books/,16,0,0
1682276500124,4,getBooks request,200,,External app 1-4,text,true,,174,124,6,6,http://localhost:8080/books/,3,0,0
1682276500127,2,getBooks request,200,,External app 1-7,text,true,,174,124,6,6,http://localhost:8080/books/,2,0,0
1682276500126,3,getBooks request,200,,External app 1-1,text,true,,174,124,6,6,http://localhost:8080/books/,3,0,0
1682276500128,4,getBooks request,200,,External app 1-4,text,true,,174,124,6,6,http://localhost:8080/books/,4,0,0
1682276500130,3,getBooks request,200,,External app 1-7,text,true,,174,124,6,6,http://localhost:8080/books/,3,0,0
1682276500130,5,getBooks request,200,,External app 1-1,text,true,,174,124,6,6,http://localhost:8080/books/,4,0,0
1682276500132,3,getBooks request,200,,External app 1-4,text,true,,174,124,6,6,http://localhost:8080/books/,2,0,0
